abananar,banana,
abalroar,hit a ship,
abater,shoot down,
abiscoitar,to get,
abonar,give/receive bonus,
abrasileirar,brasil,
abroquelar,broquel=shield,
aburguesar,,sell out?
acorrer,run to,sense not in PWN
acumpliciar,accomplice,not a verb?
adernar,,
adjectivar,adjective,not a verb?
adjetivar,adjective,not a verb?
aforar,authorize in forum?,
africanizar,africa,
africanar,africa,
africar,africa, 
apaulistar,paulista,
arabizar,arab,
apetecer,fancy as food,
aportuguesar,portuguese,
aprestar,,
argentinizar,argentina,
asilar,to ask for asylum,
assessorar,assessor,only tax
auto-denominar,denominate,
auto-excluir,exclude,
auto-parodiar,parody,
auto-punir,punish,
atabalhoar, muddle,
aveludar,velvet,
averbar,write down a deal?,
bem-aventurar,,
bem-suceder,,
biografar,write a biography,
bonificar,give bonus,
capotar,turn_over?,
comissariar,comissary,
compenetrar,concentrate,
contextualizar,context only noun,
conveniar,,
desafogar,un-drown,vent?
desaguar,,
desajustar,,
desempatar,, antonimo de 01115190-v
desencabular,,
desencontrar,,
desengavetar,,
desertificar,,
desgarrar,,
desgravar,,
desgrudar,,
desinstalar,uninstall,not in PWN
desinterditar,,
desincompatibilizar,,
desinflacionar,,
desmesurar,,
despolitizar,,
desregrar,,
destelhar,unroof,
digladiar,,
disparatar,,
doutorar,to confer a doctorate,or receive
emplacar,,
encartar,get a driver's license,PT only
engraçar,,
entardecer,,
entreabrir,open partially,
enxovalhar,,
escabechar,Portugal only?,
espezinhar,,
flechar,,
frutar,,not a verb
garfar,stick with a fork,
gazetear,play truant,
golear,goal,not a verb
incrementar,increment,not a verb
independer,independent,not a verb
indeterminar,non determinate,
indiferenciar,non differentiate,
inviabilizar,,
matraquear,,
maxixar,,
mimetizar,,
minorar,,
municiar,provide ammunition?,
municipalizar,,
papar,,
pautar,behave,
preconizar,preconize?,
pre-datar,,
pre-qualificar,,
pisgar,beat it,PT only?
pós-pagar,,
problematizar,,
propalar,divulge?,
prototipar,make a prototype,not a verb
reatar,knot again?,
rebolar,ondulate  hips,
recandidatar,re-run,
recadastrar,,
reconfigurar,reconfigure,
reconduzir,,
re-embalar, repack,
referendar,make a referendum,
refugiar,to take refuge,
regravar,rerecord,
reinaugurar,inaugurate,
reinserir,reinsert?,
renascer,rebirth,not a verb
rentabilizar,rentable,make a profit?
repescar,fish back,
ressalvar,,
ressumar,,PT only?
retrancar,,
revalidar,,
subempregar,underpay,
substantivizar,not a verb,
samplear,neologism,
sonegar,,
solidarizar,show solidariety,
terciarizar,tertiary,not a verb
transparecer,,
valar,make valas, groove?valer
vampirizar,,not a verb
viabilizar,make viable,
vocacionar,orient for job,
zarpar,set sail,
